name,price,price_tax,description,allergens,calories,carbohydrate,fat,fiber,protein,salt,sugar,is_seven_premium,category,small_category,url,image_url
味しみ玉こんにゃく群馬県産こんにゃく使用,258.0,278.64,群馬県産こんにゃくを使用した玉こんにゃくです。辛子を付けて冷たいまま食べる仕立てです。,小麦,39.0,9.0,0.4,2.9,1.2,1.9,6.1,false,サラダ,サラダ,https://www.sej.co.jp/products/a/item/104907/,https://img.7api-01.dp1.sej.co.jp/item-image/104907/302031135840656A09EA3E89A63A65D1.jpg
おつまみメンマ煮干し仕立て,278.0,300.24,青森県津軽地方のソウルフード「煮干しラーメン」を想起させる味付けのメンマと長ねぎを組み合わせたおつまみです。,小麦,65.0,7.0,2.9,3.8,4.6,2.2,3.2,false,サラダ,サラダ,https://www.sej.co.jp/products/a/item/105091/,https://img.7api-01.dp1.sej.co.jp/item-image/105091/2C644DF2529FFF0E5723B99037978260.jpg
冷しぶっかけそばだし入りとろろ,460.0,496.8,だし入りとろろで食べる、ぶっかけタイプの冷たいそばです。,"卵,小麦,そば",293.0,53.3,4.3,4.8,12.7,2.9,48.5,false,そば・うどん・中華麺,そば,https://www.sej.co.jp/products/a/item/094423/,https://img.7api-01.dp1.sej.co.jp/item-image/094423/6FCA5F1A61E4A1CA1BBAFAEE7CB55D58.jpg
７プレミアムまろやか６Ｐチーズ,248.0,267.84,濃厚でまろやかな味わいの口どけの良い６Ｐチーズです。,乳,51.0,0.4,4.0,0.1,3.5,0.4,0.3,true,牛乳・乳製品,バター・チーズ,https://www.sej.co.jp/products/a/item/220076/,https://img.7api-01.dp1.sej.co.jp/item-image/220076/2F6F0BC34E68B52B6E4C0311F937CEC0.jpg
グリコＢｉｇプッチンプリン,165.0,178.2,,"卵,乳",212.0,28.1,9.8,,2.8,0.31,,false,スイーツ,洋菓子,https://www.sej.co.jp/products/a/item/111013/,https://img.7api-01.dp1.sej.co.jp/item-image/111013/07B520E7AE72067E2EB30318E3E0C7DB.jpg
シフォンケーキ宇治抹茶,160.0,172.8,宇治抹茶の味、風味が感じられる広島県産米粉を使用したシフォンケーキ,"卵,乳,小麦",194.0,22.0,9.5,0.4,5.3,0.46,21.6,false,ドーナツ,ドーナツ,https://www.sej.co.jp/products/a/item/302902/,https://img.7api-01.dp1.sej.co.jp/item-image/302902/239888B9BD461DDF47C7A466702F7D2A.jpg
レモンタルタルと甘酢チキン丼,598.0,645.84,瀬戸内レモン果汁を加えたタルタルソースと甘酢チキンを組みわせた丼です。,"卵,乳,小麦",848.0,107.3,32.2,1.7,33.0,4.6,105.6,false,お弁当,チルド弁当,https://www.sej.co.jp/products/a/item/045042/,https://img.7api-01.dp1.sej.co.jp/item-image/045042/7D4EA36BB88D50261F1F1403B30287B2.jpg
７Ｐもっちり仕立ての名匠のお米無洗３００ｇ,233.0,251.64,5ツ星マイスターがブレンドした、もっちりした食感のお米です,,,,,,,,,true,常温・加工食品,米・米加工品,https://www.sej.co.jp/products/a/item/360161/,https://img.7api-01.dp1.sej.co.jp/item-image/360161/FFA7A678A1CDA96F8A8FE9E078955ABF.jpg
フライドポテト（しお味）,278.0,300.24,外はサクサク、中はホクホク食感の塩味付きフライドポテトです。,"小麦,大豆",408.0,56.5,18.8,5.2,5.5,1.6,51.3,false,揚げ物・フランク・焼き鳥,揚げ物惣菜,https://www.sej.co.jp/products/a/item/150456/,https://img.7api-01.dp1.sej.co.jp/item-image/150456/9FAD9F5F76EA0C1CA21DF9662610F89B.jpg
若鶏の醤油唐揚げ弁当,530.0,572.4,鶏の旨味を引き出した、にんにく醤油仕立ての唐揚げ弁当です。,"卵,乳,小麦",749.0,96.8,27.8,3.2,29.6,1.9,93.6,false,お弁当,お弁当,https://www.sej.co.jp/products/a/item/041550/,https://img.7api-01.dp1.sej.co.jp/item-image/041550/5ED5D97F368E0A63DCB26F8388AF2065.jpg
お店で揚げたドーナツ（メープル）,130.0,140.4,メープル風味のドーナツを、もっちりふんわり仕上げました。そのままでも美味しく召し上がれますが、お好みでグラニュー糖をまぶしてお召しあがりください。,"卵,乳,小麦,大豆",191.0,28.2,6.9,1.0,4.6,0.5,27.2,false,揚げ物・フランク・焼き鳥,揚げ物惣菜,https://www.sej.co.jp/products/a/item/150389/,https://img.7api-01.dp1.sej.co.jp/item-image/150389/1C442D562769F345063A920FFCF96E6A.jpg
７プレミアムとんこつラーメン,298.0,321.84,じっくり炊いたコク旨スープのとんこつラーメンです。,"卵,乳,小麦",473.0,62.1,13.8,2.6,26.3,4.3,59.5,false,冷凍食品,冷凍食品,https://www.sej.co.jp/products/a/item/410820/,https://img.7api-01.dp1.sej.co.jp/item-image/410820/E2620957B254FB20AA331D1F601BDF39.jpg
香味醤油仕立てのニラレバ,350.0,378.0,中華惣菜の定番商品「ニラレバ」。柔らかく仕上げたレバーを香味野菜のきいた旨味あるタレでお召し上がりください。,"卵,小麦",276.0,19.8,11.2,2.3,25.2,3.8,17.5,false,惣菜,惣菜,https://www.sej.co.jp/products/a/item/100826/,https://img.7api-01.dp1.sej.co.jp/item-image/100826/BAC098DD1884892E83690015A5A47650.jpg
７Ｐチェダーチーズ使用スモークチーズ１００ｇ,358.0,386.64,熟成チェダーチーズを加えた旨味とコクのあるスモークチーズです。,乳,348.0,2.1,28.6,0.4,20.8,3.0,1.7,true,牛乳・乳製品,バター・チーズ,https://www.sej.co.jp/products/a/item/220011/,https://img.7api-01.dp1.sej.co.jp/item-image/220011/E116407B20A1F4B3B884F24636AE0341.jpg
オシキリグリ－ンもやし２００Ｇ,42.0,45.36,,,,,,,,,,false,サラダ,カット野菜・カットフルーツ,https://www.sej.co.jp/products/a/item/250023/,https://img.7api-01.dp1.sej.co.jp/item-image/250023/DF435A02DF55AB236FCF321870BAD741.jpg
愛媛県産真鯛のだし茶漬け,450.0,486.0,藻塩で焼き上げた愛媛県産真鯛のほぐし身を使用しただし茶漬けです 。,小麦,236.0,47.0,2.3,0.8,7.1,1.6,46.2,false,お弁当,チルド弁当,https://www.sej.co.jp/products/a/item/045046/,https://img.7api-01.dp1.sej.co.jp/item-image/045046/F1901042E217B16679F254574881EE2D.jpg
幕の内３９８,398.0,429.84,定番のおかずを盛りつけた、人気の幕の内弁当です。,"卵,乳,小麦",638.0,93.5,22.4,6.3,18.8,2.4,87.2,false,お弁当,お弁当,https://www.sej.co.jp/products/a/item/043062/,https://img.7api-01.dp1.sej.co.jp/item-image/043062/39B19347A4253DB0631214609EF0A266.jpg
７Ｐクリアクーラーグレープフルーツ缶５００ＭＬ,168.0,184.8,グレープフルーツ果汁にグレープフルーツスピリッツとグレープフルーツエキスを加えることで、スッキリとした味わいとしっかりとした果実感が楽しめるサワーです,,50.0,5.3,0.0,,0.0,0.07,,true,お酒,お酒,https://www.sej.co.jp/products/a/item/030283/,https://img.7api-01.dp1.sej.co.jp/item-image/030283/C8B93547EEAD8114AF8CD97BBAE25D64.jpg
７プレミアム辛口ビーフジャーキー,268.0,289.44,赤唐辛子等の香辛料を使用し、辛さを楽しめるように仕上げました。,小麦,65.0,3.5,1.2,0.0,10.0,1.4,3.5,true,常温・加工食品,珍味・缶詰,https://www.sej.co.jp/products/a/item/380267/,https://img.7api-01.dp1.sej.co.jp/item-image/380267/74AF4583FE4FD7774B0808B42FF056C7.jpg
７Ｐ糖質０ｇ低カロリー麺辛麺スープ付き,198.0,213.84,糖質０gの低カロリーなこんにゃく麺を使用した辛麺です。唐辛子の辛味と旨みの強いスープが特長です。,小麦,52.0,9.6,0.9,,3.6,4.2,,true,生鮮,生鮮,https://www.sej.co.jp/products/a/item/251099/,https://img.7api-01.dp1.sej.co.jp/item-image/251099/3495728FB913FF0BCF43A49B7C9F1FDA.jpg
照り焼きチキンのパスタサラダ,368.0,397.44,照り焼きチキンをメイン具材に弾力とつるみのあるパスタを使用した満足感のあるパスタサラダです。,"卵,小麦",353.0,40.9,12.0,4.2,22.5,3.9,36.7,false,サラダ,パスタサラダ・おかずサラダほか,https://www.sej.co.jp/products/a/item/105021/,https://img.7api-01.dp1.sej.co.jp/item-image/105021/57BD04462FECEA19A87F8E2634DC225C.jpg
東海限定あさりしぐれおむすび,138.0,149.04,地区で好まれるあさりしぐれを中具に入れたおむすびです。,小麦,204.0,42.9,1.1,1.6,6.5,2.0,41.3,false,おにぎり,その他のおむすび,https://www.sej.co.jp/products/a/item/044006/,https://img.7api-01.dp1.sej.co.jp/item-image/044006/70D920E6193E4D0FDF8044B28108E14F.jpg
削りチ－ズとバジルのトマトソ－スパスタ,520.0,561.6,削りチーズ、トマト、バジルを組み合わせたパスタです。,"乳,小麦",634.0,80.9,20.9,5.2,33.1,5.7,75.7,false,スパゲティ・パスタ,スパゲティ・パスタ,https://www.sej.co.jp/products/a/item/095085/,https://img.7api-01.dp1.sej.co.jp/item-image/095085/F8ACC4E9EF4486B6D9F95D3F150090BB.jpg
７プレミアムひじき煮,138.0,149.04,ひじきと具材の食感を生かしながら、ふっくらと炊き上げた具だくさんのひじき煮です。,小麦,60.0,8.2,2.2,2.6,3.1,0.8,5.6,true,チルド惣菜,７プレミアム（副菜）,https://www.sej.co.jp/products/a/item/101999/,https://img.7api-01.dp1.sej.co.jp/item-image/101999/1FF217CE2983C0A5604C1FC4C7F76CE2.jpg
７カフェショコラワッフル,158.0,170.64,発酵バターの味わいとザクザク食感が特徴のベルギーワッフルに、カカオの豊かな香りが広がるチョコレートをコーティングしました。,"卵,乳,小麦",272.0,30.3,15.0,1.2,4.5,0.2,29.1,true,お菓子,チョコレート・焼き菓子,https://www.sej.co.jp/products/a/item/323617/,https://img.7api-01.dp1.sej.co.jp/item-image/323617/B691D5643133B28183633C9D59C8983E.jpg
７プレミアム刻み白ねぎ,100.0,108.0,薬味以外にもうどんや冷奴などにどうぞ。使い切りで無駄がないのでとても便利です,,14.0,3.3,0.0,1.0,0.6,0.0,2.3,true,生鮮,生鮮,https://www.sej.co.jp/products/a/item/252377/,https://img.7api-01.dp1.sej.co.jp/item-image/252377/79C3F89DD36023F622954ADB38251210.jpg
７ザ・プライスしっとり食パン６枚入,108.0,116.64,低温で長時間発酵させたこだわりの製法で作り上げた食パンです。,"乳,小麦",152.0,32.7,1.4,1.8,3.0,0.7,30.9,true,パン・シリアル,パン・シリアル,https://www.sej.co.jp/products/a/item/290262/,https://img.7api-01.dp1.sej.co.jp/item-image/290262/FE991B5325F36DD361199656E3567F1A.jpg
７プレミアムそうめん３６０ｇ,198.0,213.84,北海道産きたほなみを１００％使用した小麦の香りが引き立つ、つるみと程良いコシが決め手のそうめんです。,小麦,,,,,,,,true,常温・加工食品,乾麺・乾物,https://www.sej.co.jp/products/a/item/340960/,https://img.7api-01.dp1.sej.co.jp/item-image/340960/2CF2190E0FB6CC0F311DBA0459BF4CAC.jpg
ツナサラダロール,140.0,151.2,定番商品のツナサラダのコッペパンサンド。九州で好まれる甘めに仕上げたツナサラダを盛り付けました。,"卵,乳,小麦",296.0,24.8,19.3,1.5,6.5,0.92,23.3,false,サンドイッチ・ロールパン,サンドイッチ・ロールパン,https://www.sej.co.jp/products/a/item/051738/,https://img.7api-01.dp1.sej.co.jp/item-image/051738/281960B41D2C8A17F32AE226D53C0C52.jpg
チョコホイップサンドチョコチップ入り,150.0,162.0,ふんわりとした食パンに自社内製のチョコチップ入りチョコホイップをサンドした商品。,"卵,乳,小麦",242.0,33.3,9.4,1.0,6.5,0.43,32.3,true,パン・シリアル,パン・シリアル,https://www.sej.co.jp/products/a/item/302647/,https://img.7api-01.dp1.sej.co.jp/item-image/302647/382FD0504252D4F0244CE07B93AB46FC.jpg
豚骨焼ラーメン黒マー油と辛味たれ入,530.0,572.4,濃厚で旨味のある豚骨タレと、黒マー油と焦がしネギを加えた香味油で仕上げた焼ラーメンです。,"卵,乳,小麦",633.0,74.2,25.6,6.7,29.8,5.2,67.5,false,そば・うどん・中華麺,焼きそば・焼うどんほか,https://www.sej.co.jp/products/a/item/093997/,https://img.7api-01.dp1.sej.co.jp/item-image/093997/36493B1365FFF3423496AB9AB6B8F46C.jpg
ひとくち包みみたらし,150.0,162.0,もちもちとしたコシのある団子生地で、甘じょっぱいみたらしたれを包んだ一口タイプのみたらし団子です。,小麦,217.0,51.8,0.4,0.5,1.7,0.4,51.3,false,スイーツ,和菓子,https://www.sej.co.jp/products/a/item/112426/,https://img.7api-01.dp1.sej.co.jp/item-image/112426/57646B7BD284D69E873346C47880BCAD.jpg
７プレミアムつぶあんぱん,128.0,138.24,口どけ良く、しっとりとした食感の生地に、小豆の風味をしっかり感じるつぶあんを包みました。,"卵,乳,小麦",269.0,51.8,4.5,3.8,7.1,0.5,48.0,true,パン・シリアル,パン・シリアル,https://www.sej.co.jp/products/a/item/302202/,https://img.7api-01.dp1.sej.co.jp/item-image/302202/EACCF78ABF8A843D2B8C89FEAB7D0687.jpg
ねぎ盛り炭火やきとん,368.0,397.44,豚ホルモンを炭火で香ばしく焼き上げました。にんにくを効かせた塩だれをあわせ、やみつき感のある味わいのおつまみにぴったりな商品です。,小麦,205.0,2.4,13.0,0.9,20.1,2.1,1.5,false,惣菜,惣菜,https://www.sej.co.jp/products/a/item/102084/,https://img.7api-01.dp1.sej.co.jp/item-image/102084/2868B530923ABC3B186900E46369C386.jpg
ミニロール（ハムたまご＆野菜コロッケ）,240.0,259.2,定番具材のハムたまごと、コーンと人参入りの野菜コロッケの２種類の味が楽しめて、手軽に持ち運びしやすいボックスタイプのロールです。,"卵,乳,小麦",343.0,43.4,15.3,2.2,8.9,1.7,41.2,false,サンドイッチ・ロールパン,サンドイッチ・ロールパン,https://www.sej.co.jp/products/a/item/052682/,https://img.7api-01.dp1.sej.co.jp/item-image/052682/1EC06EB7A9D075F23B677B2269D75576.jpg
魯珈監修スパイスチキンカレーパン,176.0,190.08,魯珈監修のチキンカレーがカレーパンになって登場。玉ねぎとトマトを使用し、更にスパイスが効いたオリジナルカレーパンをお楽しみください。,"卵,乳,小麦,牛肉,大豆,鶏肉,バナナ,豚肉,りんご,ゼラチン",271.0,34.7,12.1,1.9,6.6,1.4,32.8,false,揚げ物・フランク・焼き鳥,揚げ物惣菜,https://www.sej.co.jp/products/a/item/150009/,https://img.7api-01.dp1.sej.co.jp/item-image/150009/3D4D09C6984E5894EEAE236648AEFBDD.jpg
７プレミアム＜純米＞本みりん５００ＭＬ,298.0,327.8,原材料国産米100%使用の純米酒質の本みりん※本商品は軽減税率対象外です,,42.0,9.0,0.0,0.0,0.1,0.0,9.0,true,常温・加工食品,調味料,https://www.sej.co.jp/products/a/item/020032/,https://img.7api-01.dp1.sej.co.jp/item-image/020032/1D366DDE7CEF5230457B7DC7822EA474.jpg
冷たくてもおいしい玉子焼き,248.0,267.84,かつおと昆布の出汁をきかせ、砂糖で甘味のある味付けに仕上げた玉子焼きです。,"卵,小麦",203.0,15.1,10.1,0.3,13.1,1.5,14.8,false,サラダ,サラダ,https://www.sej.co.jp/products/a/item/104110/,https://img.7api-01.dp1.sej.co.jp/item-image/104110/A0F4FE660FA1F9A7E116A00F8B720E12.jpg
７プレミアムしっとり磯辺天,198.0,213.84,国産青のりの風味と香りが特長の商品です。ＣＯ２削減や食料自給率の環境問題に配慮した陸上養殖の海藻を原料とした「すじ青のり」を使用。,"卵,小麦",171.0,23.5,7.1,0.6,3.2,1.9,22.9,true,常温・加工食品,珍味・缶詰,https://www.sej.co.jp/products/a/item/380352/,https://img.7api-01.dp1.sej.co.jp/item-image/380352/3C5AD4A2CA867725175AA9B172DBF920.jpg
井村屋北海道あずきバー,140.0,151.2,,,,,,,,,,false,アイス,アイスクリーム,https://www.sej.co.jp/products/a/item/450438/,https://img.7api-01.dp1.sej.co.jp/item-image/450438/A6B47D711CBEA5418282ED6690BE5D26.jpg
東海限定いなり寿司３個入り,268.0,289.44,お揚げにしっかり味が染みたいなり寿司です。,小麦,294.0,50.7,6.4,2.0,9.5,1.5,48.7,false,お寿司,いなり寿司,https://www.sej.co.jp/products/a/item/043538/,https://img.7api-01.dp1.sej.co.jp/item-image/043538/810D0CDCECA8B6337CC7D218E3CB8816.jpg
７プレミアムひきわり納豆３Ｐ,98.0,105.84,丸大豆をひきわり蒸し上げた、旨みが強くまろやかな味わいの納豆です。,小麦,81.0,5.1,4.2,3.1,7.4,0.6,2.0,true,生鮮,生鮮,https://www.sej.co.jp/products/a/item/250280/,https://img.7api-01.dp1.sej.co.jp/item-image/250280/437B7CA64326603FE1429C2992522E67.jpg
とろーり冷やしみたらし,210.0,226.8,ダシの風味と醤油の香りが楽しめる、さっぱりとした味わいのタレで食べるカップに入ったみたらし団子です。,小麦,256.0,60.7,0.4,0.3,2.6,1.1,60.4,false,スイーツ,和菓子,https://www.sej.co.jp/products/a/item/113628/,https://img.7api-01.dp1.sej.co.jp/item-image/113628/4766E2A944149E37A21C2C5EAD448605.jpg
７プレミアムカップ参鶏湯スープ,148.0,159.84,濃厚な鶏のコクとうま味が特長の冬場にぴったりなスープです。,"乳,小麦",65.0,11.8,1.2,0.4,2.2,1.9,11.4,true,常温・加工食品,インスタント食品,https://www.sej.co.jp/products/a/item/340260/,https://img.7api-01.dp1.sej.co.jp/item-image/340260/7535FB181AC128CF23B270C0F3E7E8DA.jpg
７プレミアムチーズカレードリア,368.0,397.44,チーズをたっぷり使ったチーズカレードリアです。,"乳,小麦",403.0,59.8,13.3,4.0,13.3,2.0,55.8,false,冷凍食品,冷凍食品,https://www.sej.co.jp/products/a/item/410320/,https://img.7api-01.dp1.sej.co.jp/item-image/410320/FC9138812417D1E22D64BCA44A5D3F49.jpg
温そうめん小豆島手延べそうめん島の光使用,328.0,354.24,だしにかつお、さば、むろあじ、焼あご（とびうお）、昆布、しいたけの６種類を使用した、旨味とほのかな甘味のある温そうめんです。,小麦,136.0,25.3,0.9,1.2,7.3,2.8,24.1,false,惣菜,惣菜,https://www.sej.co.jp/products/a/item/105246/,https://img.7api-01.dp1.sej.co.jp/item-image/105246/31C952EA1F99747DE21D087327C970D8.jpg
のりおろしそばおやさいのねぎ使用,430.0,464.4,大根おろし、青ねぎ、おろし生姜、揚げ玉、のりを盛りつけたのりおろしそばです。,"卵,小麦,そば,えび",329.0,56.2,6.8,4.7,13.2,2.8,51.5,false,そば・うどん・中華麺,そば,https://www.sej.co.jp/products/a/item/094429/,https://img.7api-01.dp1.sej.co.jp/item-image/094429/56BFFEA8E1D7244C41C6897FE8BF92A4.jpg
７プレミアムおつまみカニカマ,198.0,213.84,,"卵,かに",153.0,16.5,6.7,0.2,6.7,1.8,16.3,true,生鮮,生鮮,https://www.sej.co.jp/products/a/item/251373/,https://img.7api-01.dp1.sej.co.jp/item-image/251373/0C4C05E4C321F22DEC6D0FD5344FE224.jpg
７Ｐ一（はじめ）ほうじ茶八女茶入６００,100.0,108.0,,,0.0,0.0,0.0,,0.0,0.02,,true,ソフトドリンク,お茶・コーヒー・紅茶,https://www.sej.co.jp/products/a/item/460612/,https://img.7api-01.dp1.sej.co.jp/item-image/460612/207C672F66E1C481D31F828CE59127D0.jpg
７プレミアム鉄釜焙煎いりごま白６０Ｇ,108.0,116.64,鉄製の焙煎釜で、ふっくらと香ばしく煎り、歯応えのよい食感に仕上げました,,359.0,11.1,32.5,7.6,12.2,0.0,3.5,true,常温・加工食品,乾麺・乾物,https://www.sej.co.jp/products/a/item/350522/,https://img.7api-01.dp1.sej.co.jp/item-image/350522/22538298A03D4C0EA8A9BF5DD17E2632.jpg
７プレミアムレンジで焼き餃子,158.0,170.64,大豆ミートを一部使用したジューシーな餃子です。,"卵,乳,小麦",164.0,19.5,6.0,1.5,8.8,0.98,18.0,false,冷凍食品,冷凍食品,https://www.sej.co.jp/products/a/item/410049/,https://img.7api-01.dp1.sej.co.jp/item-image/410049/77AEB484997996056F2882BB3ABD063C.jpg
ザンギマヨネーズ巻,370.0,399.6,甘辛く仕上げたザンギにマヨネーズを合わせた食べ応えのあるお寿司です,"卵,乳,小麦",494.0,75.2,17.6,3.2,10.2,4.0,72.0,false,お寿司,その他のお寿司,https://www.sej.co.jp/products/a/item/044849/,https://img.7api-01.dp1.sej.co.jp/item-image/044849/AE555A3E596D7A839D5EE7B11297F765.jpg
竹下ブラックモンブラン祇園辻利抹茶＆ほうじ茶,230.0,248.4,,"乳,小麦,落花生",,,,,,,,false,アイス,アイスクリーム,https://www.sej.co.jp/products/a/item/450062/,https://img.7api-01.dp1.sej.co.jp/item-image/450062/945C258ACC11150E4D86423DE0D10EA0.jpg
７プレミアム栗まんじゅう,168.0,181.44,贅沢に栗を丸々一粒使用した、しっとりやわらかな栗まんじゅうです。,"卵,乳,小麦",198.0,44.2,1.2,2.9,4.1,0.1,41.3,true,お菓子,和風菓子・豆菓子,https://www.sej.co.jp/products/a/item/310798/,https://img.7api-01.dp1.sej.co.jp/item-image/310798/2599663CBE8F8F8DFD1D097D06A5BED3.jpg
徳島県産トマトの野菜ミックスサンド,358.0,386.64,徳島県産トマトを使用した、野菜たっぷりのミックスサンドです。,"卵,乳,小麦",339.0,32.9,19.3,1.7,9.2,1.4,31.2,false,サンドイッチ・ロールパン,サンドイッチ・ロールパン,https://www.sej.co.jp/products/a/item/052664/,https://img.7api-01.dp1.sej.co.jp/item-image/052664/1E7408B369821BE0F890C4ECFF084D0F.jpg
季節限定秋のグリル野菜サラダボウル,578.0,624.24,グリルした季節の野菜とチキンを柚子胡麻ドレッシングで食べるサラダです。,"卵,乳,小麦",305.0,31.5,14.1,5.1,15.5,2.6,26.4,false,サラダ,パスタサラダ・おかずサラダほか,https://www.sej.co.jp/products/a/item/104719/,https://img.7api-01.dp1.sej.co.jp/item-image/104719/1F97323F37E330509DD3A1957CCDDC94.jpg
７プレミアム皮付きフレンチポテトうましお味,178.0,192.24,ホクホクとした食感に仕上げ、こだわりの岩塩を配合したうましお味のポテトスナック。,"乳,小麦",236.0,21.8,16.1,3.0,2.3,0.3,18.8,true,お菓子,スナック,https://www.sej.co.jp/products/a/item/330688/,https://img.7api-01.dp1.sej.co.jp/item-image/330688/BE91B5C2DFB2441FBF4EA9DEAC85F991.jpg
７プレミアムやわらかいか天,348.0,375.84,するめを厚く、ころもを薄くすることで、するめの風味が楽しめるいか天に仕上げました。また、フライ油にもこだわり、キャノーラ油だけを使用しています。,"卵,乳,小麦",314.0,36.2,13.4,0.8,12.2,2.9,35.4,true,常温・加工食品,珍味・缶詰,https://www.sej.co.jp/products/a/item/380996/,https://img.7api-01.dp1.sej.co.jp/item-image/380996/BD28B1AD3AAD86DAC3144C5096785DEF.jpg
７Ｐうす焼きせんべいのり塩味,100.0,108.0,お米の風味豊かなパリッと薄焼きタイプのお煎餅です。より海苔の風味を増すために、生地に3種の海苔を練り込み、海苔の豊かな風味と旨味があと引く癖になる味わいです。,小麦,170.0,31.6,3.8,0.7,2.8,0.94,30.9,true,お菓子,和風菓子・豆菓子,https://www.sej.co.jp/products/a/item/310281/,https://img.7api-01.dp1.sej.co.jp/item-image/310281/9D76E622CC24E8CBDD7371CF1BB7C736.jpg
セイヒョーもも太郎,70.0,75.6,,,,,,,,,,false,アイス,アイスクリーム,https://www.sej.co.jp/products/a/item/450016/,https://img.7api-01.dp1.sej.co.jp/item-image/450016/7BE2BE9CC354172400976B4A04DC7A05.jpg
７プレミアムまる餅４００Ｇ,318.0,343.44,新潟県産水稲もち米「わたぼうし」を100％使用したまる餅です。伸びコシが良く、舌触りがなめらかな餅です。,,,,,,,,,true,常温・加工食品,米・米加工品,https://www.sej.co.jp/products/a/item/340227/,https://img.7api-01.dp1.sej.co.jp/item-image/340227/E78C67B4D2ADDB0A72C4AC662AD68586.jpg
